task,sequence,query,training,old_eval,fixed_eval,category,old_duplicate_name,negative4m,excluded1m,observed_state
S06_3d_branch_medium_C02__rounded_rectangle,72154,0,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,1,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,2,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,3,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,4,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,5,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,6,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,7,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,8,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,9,negative,not_selected,not_selected,position_negative_original4m,False,True,True,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,10,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,11,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,12,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,13,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,14,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,15,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
S06_3d_branch_medium_C02__rounded_rectangle,72154,16,positive,matched,matched,position_valid,False,False,False,1
S06_3d_branch_medium_C02__rounded_rectangle,72154,17,unknown,not_selected,not_selected,missing_observation_or_exclusion_evidence,False,False,False,0
